n_neighbors,n_components,min_dist,metric,min_cluster_size,min_samples,hdbscan_metric,cluster_selection_method,prediction_data,n_topics,silhouette,diversity,coherence_cv,silhouette_norm,diversity_norm,coherence_cv_norm,score_sdc,score_sc
30,10,0.0,cosine,75,20,euclidean,eom,True,130,0.1295,0.5931,0.6918,0.730989010989011,0.5564583917063602,0.6937962435970403,0.6604145487641372,0.7123926272930257
30,10,0.0,cosine,100,5,euclidean,eom,True,102,0.1463,0.6363,0.6818,0.8048351648351648,0.6775007004763239,0.6653386454183265,0.715891503576605,0.7350869051267457
30,10,0.0,cosine,100,10,euclidean,eom,True,108,0.1582,0.6352,0.6798,0.8571428571428571,0.6744186046511628,0.6596471257825838,0.7304028625255347,0.7583949914627204
30,10,0.0,cosine,100,20,euclidean,eom,True,105,0.1686,0.6333,0.6944,0.9028571428571428,0.6690949845895209,0.701195219123506,0.7577157821900565,0.8020261809903244
30,10,0.0,cosine,150,5,euclidean,eom,True,76,0.1408,0.6487,0.729,0.7806593406593406,0.7122443261417767,0.7996585088218554,0.7641873918743243,0.790158924740598
30,10,0.0,cosine,150,10,euclidean,eom,True,74,0.1425,0.6527,0.7285,0.7881318681318681,0.7234519473241804,0.7982356289129199,0.7699398147896561,0.793183748522394
30,10,0.0,cosine,150,20,euclidean,eom,True,79,0.1606,0.6582,0.72,0.8676923076923077,0.7388624264499861,0.774046670461013,0.7935338015344356,0.8208694890766604
30,10,0.0,cosine,200,5,euclidean,eom,True,63,0.1569,0.6794,0.726,0.8514285714285714,0.7982628187167274,0.7911212293682413,0.8136042065045134,0.8212749003984063
30,10,0.0,cosine,200,10,euclidean,eom,True,60,0.1581,0.6767,0.7325,0.8567032967032966,0.7906976744186046,0.8096186681844053,0.8190065464354355,0.833160982443851
30,10,0.0,cosine,200,20,euclidean,eom,True,62,0.1747,0.6968,0.715,0.9296703296703296,0.847015970860185,0.7598178713716561,0.8455013906340568,0.8447441005209928
50,3,0.0,cosine,10,5,euclidean,eom,True,820,0.0704,0.732,0.4578,0.4712087912087912,0.9456430372653405,0.027888446215139372,0.4815800915630904,0.2495486187119653
50,3,0.0,cosine,10,10,euclidean,eom,True,473,0.0744,0.6653,0.5431,0.48879120879120874,0.7587559540487533,0.2706317586795675,0.5060596405065098,0.3797114837353881
50,3,0.0,cosine,10,20,euclidean,eom,True,322,0.1022,0.6208,0.5972,0.610989010989011,0.6340711683945084,0.4245873648264085,0.5565491814033093,0.5177881879077098
50,3,0.0,cosine,20,5,euclidean,eom,True,428,0.0943,0.6423,0.546,0.5762637362637362,0.6943121322499299,0.2788844621513945,0.5164867768883535,0.42757409920756534
50,3,0.0,cosine,20,10,euclidean,eom,True,322,0.0908,0.6158,0.593,0.5608791208791208,0.6200616419165034,0.41263517359134877,0.5311919787956576,0.4867571472352348
50,3,0.0,cosine,20,20,euclidean,eom,True,255,0.0882,0.5773,0.6388,0.5494505494505494,0.5121882880358645,0.5429709732498578,0.5348699369120905,0.5462107613502036
50,3,0.0,cosine,30,5,euclidean,eom,True,285,0.092,0.6182,0.5872,0.5661538461538461,0.6267862146259456,0.39612976664769506,0.5296899424758289,0.4811418064007706
